Object,n_Object,l_FPab,FPab,e_FPab,EWPab,e_EWPab,l_FPag,FPag,e_FPag,EWPag,e_EWPag,l_FPad,FPad,e_FPad,EWPad,e_EWPad,l_FPa8,FPa8,e_FPa8,EWPa8,e_EWPa8
Sz65,,<,1.38e-14,,,,<,7.58e-15,,,,<,1.45e-14,,,,<,1.31e-14,,,
AKC2006-18,,<,2.5e-16,,,,<,9.6e-17,,,,<,1.56e-16,,,,<,2.76e-16,,,
SSTc2dJ154508.9-341734,,,4.89e-14,2.4e-15,-0.508,0.031,,3.29e-14,1.9e-15,-0.391,0.028,,2.5e-14,4.1e-15,-0.364,0.071,,2.2e-14,1.7e-15,-0.294,0.028
Sz68,,,4.72e-13,2.8e-14,-0.152,0.010,,2.82e-13,2.4e-14,-0.071,0.006,,1.5e-13,6.4e-14,-0.033,0.009,<,1.54e-13,,,
SSTc2dJ154518.5-342125,,<,8e-16,,,,<,1.2e-15,,,,<,1.88e-15,,,,<,1.67e-15,,,
Sz81A (SW),,,2.21e-14,3e-15,-0.144,0.022,,1.65e-14,3.4e-15,-0.096,0.021,,1.31e-14,4.2e-15,-0.079,0.021,<,9.06e-15,,,
Sz81B (NE),,,4.69e-15,1.22e-15,-0.046,0.012,<,1.34e-15,,,,<,3.08e-15,,,,<,5.16e-15,,,
Sz129,,,6.14e-14,1.04e-14,-0.208,0.040,,1.1e-13,1.3e-14,-0.299,0.038,,8.1e-14,2.43e-14,-0.233,0.060,<,2.3e-14,,,
SSTc2dJ155925.2-423507,,<,4.8e-16,,,,<,3e-16,,,,<,6.3e-16,,,,<,1.02e-15,,,
RY Lup,,,2.3e-13,5.1e-14,-0.162,0.038,,2.05e-13,2.5e-14,-0.142,0.019,,6.97e-14,2.44e-14,-0.042,0.012,<,1.72e-13,,,
SSTc2dJ160000.6-422158,,<,3.7e-15,,,,,4.85e-15,1.36e-15,-0.067,0.019,<,1.44e-15,,,,<,2.2e-15,,,
SSTc2dJ160002.4-422216,,,5.73e-15,2.15e-15,-0.061,0.012,,1.3e-14,3.2e-15,-0.123,0.032,<,4.17e-15,,,,<,2.13e-15,,,
SSTc2dJ160026.1-415356,,<,3.34e-15,,,,,3.71e-15,1.91e-15,-0.052,0.010,<,1.71e-15,,,,<,2.43e-15,,,
MY Lup,,,6.11e-14,2.4e-15,-0.188,0.008,<,5.48e-15,,,,<,7.58e-15,,,,<,2.88e-14,,,
Sz131,,,3.01e-15,6.6e-16,-0.042,0.009,,9.02e-15,2.85e-15,-0.110,0.022,<,1.88e-15,,,,<,7.2e-15,,,
Sz133,,,7.9e-14,4.6e-15,-0.629,0.044,,4.39e-14,4.2e-15,-0.454,0.052,,2.65e-14,2.8e-15,-0.305,0.038,<,9.51e-15,,,
SSTc2dJ160703.9-391112,,<,1.17e-16,,,,<,9.11e-17,,,,<,8.43e-17,,,,<,1.73e-16,,,
SSTc2dJ160708.6-391408,,,2.87e-15,6.6e-16,-0.267,0.076,,3.69e-15,6.3e-16,-0.346,0.072,,2.4e-15,1e-15,-0.320,0.080,,1.55e-15,6.2e-16,-0.197,0.050
Sz90,,,5.77e-14,9.5e-15,-0.218,0.038,,6.59e-14,1.25e-14,-0.214,0.044,,4.02e-14,1e-14,-0.126,0.033,,2.11e-14,1.08e-14,-0.059,0.020
Sz95,,<,2.17e-15,,,,<,1.24e-15,,,,<,2.92e-15,,,,<,8.36e-15,,,
Sz96,,<,2.66e-14,,,,<,5.98e-15,,,,<,7.22e-15,,,,<,2.22e-14,,,
2MASS J16081497-3857145,,,3.27e-16,9.1e-17,-0.085,0.025,,4.03e-16,8.4e-17,-0.099,0.022,<,2.11e-16,,,,<,2.24e-16,,,
Sz98,,,2.82e-13,2.2e-14,-0.238,0.021,,3.33e-13,7.4e-14,-0.269,0.065,,1.88e-13,4.3e-14,-0.150,0.037,<,1.01e-13,,,
Lup607,,<,1.8e-16,,,,,4.22e-16,1.89e-16,-0.039,0.008,<,3.24e-16,,,,<,9e-16,,,
Sz102,,,1.96e-14,7e-16,-3.230,0.199,,1.35e-14,8e-16,-1.960,0.172,,9.22e-15,9.1e-16,-1.210,0.177,,1.1e-14,1.4e-15,-1.211,0.147
SSTc2dJ160830.7-382827,,<,3.77e-14,,,,<,2.04e-14,,,,<,2.03e-14,,,,<,1.11e-13,,,
SSTc2dJ160836.2-392302,,,1.09e-13,2.4e-14,-0.152,0.037,,1.37e-13,3.6e-14,-0.150,0.043,,5.26e-14,1.92e-14,-0.057,0.014,<,2.29e-14,,,
Sz108B,,,3.26e-15,1.13e-15,-0.069,0.014,,4.3e-15,1.67e-15,-0.074,0.015,<,2.19e-15,,,,<,1.48e-15,,,
2MASS J16085324-3914401,,<,9.7e-15,,,,,5.07e-15,2.13e-15,-0.039,0.009,<,2.21e-15,,,,<,7.06e-15,,,
2MASS J16085373-3914367,,,1.09e-15,5.1e-16,-0.148,0.030,,9.89e-16,3.45e-16,-0.151,0.030,<,6.06e-16,,,,<,5.26e-16,,,
2MASS J16085529-3848481,,<,8.4e-16,,,,<,3e-16,,,,<,5.11e-16,,,,<,8.76e-16,,,
SSTc2dJ160927.0-383628,,,2.15e-14,1.7e-15,-0.462,0.042,,3e-14,2.7e-15,-0.500,0.054,,2.45e-14,3.7e-15,-0.412,0.072,,3.61e-14,2.8e-15,-0.512,0.049
Sz117,,,6.86e-15,1.12e-15,-0.056,0.010,,1.14e-14,2.8e-15,-0.074,0.019,,1.21e-14,7.2e-15,-0.077,0.020,<,4.58e-15,,,
Sz118,,,5.27e-14,6.9e-15,-0.151,0.021,,8.69e-14,1.3e-14,-0.206,0.033,,6.27e-14,1.69e-14,-0.142,0.041,<,2.64e-14,,,
2MASS J16100133-3906449,,<,7.31e-16,,,,<,8.32e-16,,,,<,1.53e-15,,,,<,1.82e-15,,,
SSTc2dJ161018.6-383613,,<,3.37e-16,,,,<,4.16e-16,,,,<,8.55e-16,,,,<,1.81e-15,,,
SSTc2dJ161019.8-383607,,<,2e-16,,,,<,3.18e-16,,,,<,5.64e-16,,,,<,1.01e-15,,,
SSTc2dJ161029.6-392215,,<,8.65e-16,,,,<,5.9e-16,,,,<,1.85e-15,,,,<,1.58e-15,,,
SSTc2dJ161243.8-381503,,,2.39e-14,7.4e-15,-0.097,0.019,,3.42e-14,9.9e-15,-0.117,0.035,,1.37e-14,2.2e-15,-0.045,0.007,<,1.66e-14,,,
SSTc2dJ161344.1-373646,,,4.94e-15,7.8e-16,-0.155,0.028,,5.77e-15,8.9e-16,-0.159,0.026,,3.74e-15,1.66e-15,-0.120,0.037,<,1.36e-15,,,
Sz75/GQ Lup,,,6.92e-13,1.06e-13,-0.539,0.107,,4.31e-13,7e-14,-0.297,0.059,,3.71e-13,6.9e-14,-0.248,0.052,<,1.1e-14,,,
Sz76,,<,9.78e-15,,,,,1.12e-14,7.5e-15,-0.079,0.016,<,3.09e-15,,,,,,,,
Sz77,,<,9.46e-14,,,,<,1.48e-13,,,,<,1.17e-14,,,,<,1.03e-13,,,
RXJ1556.1-3655,,,1.64e-13,3.1e-14,-0.730,0.174,,1.16e-13,2.7e-14,-0.434,0.123,,8.59e-14,1.39e-14,-0.289,0.054,,7.12e-14,1.51e-14,-0.204,0.049
Sz82/IM Lup,,<,1.2e-13,,,,<,2.35e-14,,,,<,6.12e-14,,,,<,3.25e-14,,,
EX Lup,,,7.75e-14,1.83e-14,-0.157,0.043,,9.71e-14,2.7e-14,-0.163,0.035,,7.98e-14,2.6e-14,-0.123,0.033,<,4.78e-14,,,
